POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TRANSACTION NUMBER,TRANSPONDER/LICENSE PLATE,AGENCY NAME,LANE,AXLE,DESCRPTION / PLAZA NAME,AMOUNT
11/07/2020,09/17/2020,01:02:16 AM,32312074592,2852180-IN,Florida Turnpike Enterprise,60S,5,SR869 SUNRISE MAIN SB MP1,($4.28)
11/07/2020,10/02/2020,09:33:00 AM,32312074134,2852172-IN,Florida Turnpike Enterprise,60S,5,SR91 MIRAMAR MAINLINE A MP47,($4.28)
11/07/2020,10/04/2020,04:02:26 AM,32312058143,2852172-IN,Florida Turnpike Enterprise,50S,4,SR91 Pompano Bch Main NB MP65,($3.21)
11/07/2020,09/29/2020,11:30:12 PM,32312054111,2852181-IN,Florida Turnpike Enterprise,60S,4,SR91 Pompano Bch Main SB MP65,($3.21)
11/07/2020,09/16/2020,06:49:58 AM,32312054152,2852172-IN,Florida Turnpike Enterprise,50S,5,SR91 GOLDEN GLADES MAIN NB MP0,($4.28)
11/07/2020,09/16/2020,04:52:58 PM,32312048296,2852180-IN,Florida Turnpike Enterprise,7Z,5,SR91 THREE LAKES MAIN MP236,($11.20)
11/07/2020,10/18/2020,03:46:49 PM,32312042412,2852183-IN,Miami-Dade Expressway Authority,12S,2,SR 874 NORTH (AT TURNPIKE),($0.23)
11/07/2020,10/18/2020,03:48:06 PM,32312026729,2852183-IN,Miami-Dade Expressway Authority,22S,3,SR 874 NORTH (KILLIAN),($0.46)
11/07/2020,10/18/2020,03:39:10 PM,32312026727,2852184-IN,Miami-Dade Expressway Authority,82S,5,SR 924 WEST (57TH AVE),($0.94)
11/07/2020,10/18/2020,01:09:00 PM,32312026697,2852187-IN,Miami-Dade Expressway Authority,45S,3,SR836 EAST (AT 97TH AVE),($1.32)
11/06/2020,10/17/2020,02:46:52 PM,32312022873,2852184-IN,Miami-Dade Expressway Authority,62S,5,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/17/2020,04:18:10 PM,32312023107,2852189-IN,Miami-Dade Expressway Authority,63S,3,SR836 WEST (AT 97TH AVE),($1.32)
11/06/2020,10/17/2020,02:48:23 PM,32312022868,2852184-IN,Miami-Dade Expressway Authority,81S,5,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/17/2020,03:31:38 PM,32312013094,2852189-IN,Miami-Dade Expressway Authority,12S,3,SR 874 NORTH (AT TURNPIKE),($0.46)
11/06/2020,10/17/2020,03:33:10 PM,32311977695,2852189-IN,Miami-Dade Expressway Authority,22S,3,SR 874 NORTH (KILLIAN),($0.46)
11/06/2020,10/17/2020,01:49:16 PM,32311963703,2852172-IN,Miami-Dade Expressway Authority,44S,5,SR836 EAST (AT 97TH AVE),($1.32)
11/06/2020,10/17/2020,01:35:00 PM,32311955763,2852184-IN,Miami-Dade Expressway Authority,23S,3,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/17/2020,01:07:11 PM,32311939654,2852180-IN,Miami-Dade Expressway Authority,41S,3,SR 874 NORTH (AT SR826),($0.94)
11/06/2020,10/17/2020,01:02:44 PM,32311939651,2852180-IN,Miami-Dade Expressway Authority,12S,2,SR 874 NORTH (AT TURNPIKE),($0.23)
11/06/2020,10/17/2020,01:04:05 PM,32311939644,2852180-IN,Miami-Dade Expressway Authority,22S,3,SR 874 NORTH (KILLIAN),($0.46)
11/06/2020,09/21/2020,10:12:49 AM,32311947575,2842053-IN,Florida Turnpike Enterprise,50S,5,SR23 NEW WORLD MAIN NB MP43,($0.80)
11/06/2020,10/18/2020,05:59:46 AM,32311929274,2852181-IN,Miami-Dade Expressway Authority,62S,3,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/17/2020,09:14:18 PM,32311929119,2852181-IN,Miami-Dade Expressway Authority,62S,5,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/18/2020,02:02:57 AM,32311929239,2852184-IN,Miami-Dade Expressway Authority,61S,3,SR 874 SOUTH (AT SR826),($0.94)
11/06/2020,10/17/2020,08:29:53 PM,32311929085,2852181-IN,Miami-Dade Expressway Authority,23S,5,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/18/2020,01:48:02 AM,32311929220,2852184-IN,Miami-Dade Expressway Authority,63S,3,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/18/2020,06:19:47 AM,32311923576,2852181-IN,Miami-Dade Expressway Authority,82S,3,SR 874 SOUTH (KILLIAN),($0.46)
11/06/2020,10/18/2020,01:53:31 AM,32311929248,2852180-IN,Miami-Dade Expressway Authority,23S,5,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/18/2020,02:07:15 AM,32311923495,2852184-IN,Miami-Dade Expressway Authority,91S,3,SR 874 SOUTH (AT TURNPIKE),($0.46)
11/06/2020,10/18/2020,05:34:20 AM,32311923570,2852181-IN,Miami-Dade Expressway Authority,23S,5,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/18/2020,02:35:41 AM,32311929240,2852180-IN,Miami-Dade Expressway Authority,62S,3,SR 874 SOUTH (AT SR826),($0.94)
11/06/2020,10/18/2020,02:05:59 AM,32311923484,2852184-IN,Miami-Dade Expressway Authority,81S,3,SR 874 SOUTH (KILLIAN),($0.46)
11/06/2020,10/18/2020,06:01:29 AM,32311923556,2852181-IN,Miami-Dade Expressway Authority,82S,3,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/18/2020,02:38:43 AM,32311923507,2852180-IN,Miami-Dade Expressway Authority,82S,3,SR 874 SOUTH (KILLIAN),($0.46)
11/06/2020,10/18/2020,12:37:15 AM,32311923462,2852184-IN,Miami-Dade Expressway Authority,45S,5,SR836 EAST (AT 97TH AVE),($1.32)
11/06/2020,10/17/2020,09:16:00 PM,32311923342,2852181-IN,Miami-Dade Expressway Authority,82S,5,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/18/2020,02:40:00 AM,32311923499,2852180-IN,Miami-Dade Expressway Authority,92S,3,SR 874 SOUTH (AT TURNPIKE),($0.46)
11/06/2020,10/18/2020,12:33:44 AM,32311923450,2852184-IN,Miami-Dade Expressway Authority,22S,5,SR836 EAST (AT 137TH AVE),($0.56)
11/06/2020,10/17/2020,06:52:47 PM,32311922869,2852181-IN,Miami-Dade Expressway Authority,23S,3,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/18/2020,02:22:06 AM,32311923483,2852180-IN,Miami-Dade Expressway Authority,81S,3,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/17/2020,06:37:58 PM,32311922688,2852181-IN,Miami-Dade Expressway Authority,41S,3,SR 874 NORTH (AT SR826),($0.94)
11/06/2020,10/17/2020,06:34:51 PM,32311908457,2852181-IN,Miami-Dade Expressway Authority,21S,3,SR 874 NORTH (KILLIAN),($0.46)
11/06/2020,10/17/2020,06:33:29 PM,32311908452,2852181-IN,Miami-Dade Expressway Authority,11S,3,SR 874 NORTH (AT TURNPIKE),($0.46)
11/06/2020,10/17/2020,04:04:35 PM,32311904409,2852189-IN,Miami-Dade Expressway Authority,81S,3,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/17/2020,07:19:41 PM,32311882140,2852181-IN,Miami-Dade Expressway Authority,82S,5,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/17/2020,07:17:50 PM,32311882131,2852181-IN,Miami-Dade Expressway Authority,62S,5,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/17/2020,01:45:47 PM,32311861050,2852172-IN,Miami-Dade Expressway Authority,22S,5,SR836 EAST (AT 137TH AVE),($0.56)
11/06/2020,10/16/2020,10:11:10 PM,32311835233,2852183-IN,Miami-Dade Expressway Authority,92S,3,SR 874 SOUTH (AT TURNPIKE),($0.46)
11/06/2020,10/16/2020,10:15:24 PM,32311835237,2852187-IN,Miami-Dade Expressway Authority,72S,5,SR836 WEST (84TH AVE RAMP),($0.56)
11/06/2020,10/17/2020,03:05:29 AM,32311841711,2852174-IN,Miami-Dade Expressway Authority,92S,3,SR 874 SOUTH (AT TURNPIKE),($0.46)
11/06/2020,10/17/2020,04:21:40 AM,32311841740,2852189-IN,Miami-Dade Expressway Authority,92S,3,SR 874 SOUTH (AT TURNPIKE),($0.46)
11/06/2020,10/17/2020,02:46:03 AM,32311841692,2852174-IN,Miami-Dade Expressway Authority,62S,3,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/17/2020,04:20:16 AM,32311841736,2852189-IN,Miami-Dade Expressway Authority,82S,3,SR 874 SOUTH (KILLIAN),($0.46)
11/06/2020,10/17/2020,01:33:14 AM,32311841617,2852174-IN,Miami-Dade Expressway Authority,44S,5,SR836 EAST (AT 97TH AVE),($1.32)
11/06/2020,10/17/2020,04:16:50 AM,32311841730,2852189-IN,Miami-Dade Expressway Authority,62S,3,SR 874 SOUTH (AT SR826),($0.94)
11/06/2020,10/17/2020,01:29:39 AM,32311841612,2852174-IN,Miami-Dade Expressway Authority,22S,5,SR836 EAST (AT 137TH AVE),($0.56)
